corretora;empresa;ticket
Àgora;Itaúsa;ITSA4
Àgora;Ecorodovias;ECOR3
Àgora;Taesa;TAEE11
Àgora;B3;B3SA3
Àgora;Vale;VALE3
Ativa;B3;B3SA3
Ativa;Bradesco;BBDC4
Ativa;BB Seguridade;BBSE3
Ativa;BR Distribuidora;BRDT3
Ativa;Taesa;TAEE11
Ativa;СТЕЕР;TRPL4
Ativa;Vale;VALE3
Ativa;Telefônica Brasil;VIVT3
Genial;CPFL;CPFE3
Genial;Minerva;BEEF3
Genial;Cyrela;CYRE3
Genial;Randon;SAPT4
Genial;СТЕЕР;TRPL4
Easynvest;B3;B3SA3
Easynvest;Brasil Agro;AGRO3
Easynvest;Coca-cola;COCA34
Easynvest;Taesa;TAEE11
Easynvest;Vale;VALE3
Easynvest;Copel;CPLE11
Easynvest;Itaúsa;ITSA4
Easynvest;Ambev;ABEV3
Elite;Bradesco;BBDC4
Elite;BB Seguridade;BBSE3
Elite;Banrisul;BRSR6
Elite;Engie;EGIE3
Elite;Itaúsa;ITSA4
Elite;Sanepar;SAPR11
Elite;Taesa;TAEE11
Elite;СТЕЕР;TRPL4
Elite;Telefônica Brasil;VIVT3
Elite;Vale;VALE3
Guide;Alupar;ALUP11
Guide;Banco do Brasil;BBAS3
Guide;Cyrela;CYRE3
Guide;CPFL;CPFE3
Guide;Klabin;KLBN11
Guide;Porto seguro;PSSA3
Guide;Tim;TIMS3
Guide;Vale;VALE3
Nova Futura;B3;B3SA3
Nova Futura;Cyrela;CYRE3
Nova Futura;Gerdau;GGBR4
Nova Futura;Vivo;VIVT3
Nova Futura;СТЕЕР;TRPL4
Órama;Banco AВС;ABCB4
Órama;Bradesco;BBDC4
Órama;Minerva;BEEF3
Órama;CESP;CESP6
Órama;Engie;EGIE3
